conflict_uid,split,split_seed
CF-0000215,train,42
CF-0000132,train,42
CF-0000368,train,42
CF-0000024,train,42
CF-0000013,train,42
CF-0000025,train,42
CF-0000347,train,42
CF-0000386,train,42
CF-0000028,train,42
CF-0000139,train,42
CF-0000518,train,42
CF-0000348,train,42
CF-0000267,train,42
CF-0000064,train,42
CF-0000318,train,42
CF-0000150,train,42
CF-0000217,train,42
CF-0000315,train,42
CF-0000035,train,42
CF-0000193,train,42
CF-0000310,train,42
CF-0000058,train,42
CF-0000311,train,42
CF-0000118,train,42
CF-0000344,train,42
CF-0000042,train,42
CF-0000358,train,42
CF-0000352,train,42
CF-0000301,train,42
CF-0000111,train,42
CF-0000055,train,42
CF-0000226,train,42
CF-0000365,train,42
CF-0000281,train,42
CF-0000400,train,42
CF-0000031,train,42
CF-0000052,train,42
CF-0000512,train,42
CF-0000233,train,42
CF-0000366,train,42
CF-0000120,train,42
CF-0000293,train,42
CF-0000113,train,42
CF-0000209,train,42
CF-0000072,train,42
CF-0000291,train,42
CF-0000319,train,42
CF-0000093,train,42
CF-0000219,train,42
CF-0000051,train,42
CF-0000029,train,42
CF-0000356,train,42
CF-0000053,train,42
CF-0000262,train,42
CF-0000159,train,42
CF-0000098,train,42
CF-0000078,train,42
CF-0000008,train,42
CF-0000289,train,42
CF-0000043,train,42
CF-0000177,train,42
CF-0000112,train,42
CF-0000054,train,42
CF-0000237,train,42
CF-0000247,train,42
CF-0000155,train,42
CF-0000331,train,42
CF-0000360,train,42
CF-0000343,train,42
CF-0000269,train,42
CF-0000509,train,42
CF-0000271,train,42
CF-0000115,train,42
CF-0000119,train,42
CF-0000290,train,42
CF-0000048,train,42
CF-0000004,train,42
CF-0000384,train,42
CF-0000146,train,42
CF-0000061,train,42
CF-0000087,train,42
CF-0000320,train,42
CF-0000180,train,42
CF-0000116,train,42
CF-0000181,train,42
CF-0000376,train,42
CF-0000325,train,42
CF-0000250,train,42
CF-0000162,train,42
CF-0000032,train,42
CF-0000245,train,42
CF-0000286,train,42
CF-0000126,train,42
CF-0000236,train,42
CF-0000127,train,42
CF-0000011,train,42
CF-0000277,train,42
CF-0000134,train,42
CF-0000202,train,42
CF-0000014,train,42
CF-0000189,train,42
CF-0000006,train,42
CF-0000179,train,42
CF-0000046,train,42
CF-0000066,train,42
CF-0000131,train,42
CF-0000333,train,42
CF-0000079,train,42
CF-0000264,train,42
CF-0000044,train,42
CF-0000261,train,42
CF-0000117,train,42
CF-0000017,train,42
CF-0000361,train,42
CF-0000026,train,42
CF-0000416,train,42
CF-0000041,train,42
CF-0000169,train,42
CF-0000282,train,42
CF-0000191,train,42
CF-0000182,train,42
CF-0000398,train,42
CF-0000268,train,42
CF-0000130,train,42
CF-0000375,train,42
CF-0000037,train,42
CF-0000009,train,42
CF-0000167,train,42
CF-0000223,train,42
CF-0000110,train,42
CF-0000370,train,42
CF-0000188,train,42
CF-0000284,train,42
CF-0000076,train,42
CF-0000339,train,42
CF-0000178,train,42
CF-0000345,train,42
CF-0000128,train,42
CF-0000148,train,42
CF-0000351,train,42
CF-0000309,train,42
CF-0000010,train,42
CF-0000253,train,42
CF-0000083,train,42
CF-0000114,train,42
CF-0000122,train,42
CF-0000308,train,42
CF-0000097,train,42
CF-0000045,train,42
CF-0000340,train,42
CF-0000234,train,42
CF-0000254,train,42
CF-0000231,train,42
CF-0000377,train,42
CF-0000346,train,42
CF-0000099,train,42
CF-0000260,train,42
CF-0000359,train,42
CF-0000312,train,42
CF-0000085,train,42
CF-0000057,train,42
CF-0000321,train,42
CF-0000275,train,42
CF-0000373,train,42
CF-0000238,train,42
CF-0000106,train,42
CF-0000070,train,42
CF-0000258,train,42
CF-0000040,train,42
CF-0000380,train,42
CF-0000039,train,42
CF-0000256,train,42
CF-0000514,train,42
CF-0000190,train,42
CF-0000239,train,42
CF-0000300,train,42
CF-0000201,train,42
CF-0000295,train,42
CF-0000082,train,42
CF-0000104,train,42
CF-0000023,train,42
CF-0000091,train,42
CF-0000272,train,42
CF-0000303,train,42
CF-0000288,train,42
CF-0000240,train,42
CF-0000003,train,42
CF-0000280,train,42
CF-0000096,train,42
CF-0000259,train,42
CF-0000192,train,42
CF-0000184,train,42
CF-0000002,train,42
CF-0000533,train,42
CF-0000062,train,42
CF-0000230,train,42
CF-0000519,train,42
CF-0000208,train,42
CF-0000012,train,42
CF-0000027,train,42
CF-0000123,val,42
CF-0000059,val,42
CF-0000266,val,42
CF-0000015,val,42
CF-0000299,val,42
CF-0000084,val,42
CF-0000342,val,42
CF-0000077,val,42
CF-0000090,val,42
CF-0000109,val,42
CF-0000086,val,42
CF-0000125,val,42
CF-0000121,val,42
CF-0000298,val,42
CF-0000476,val,42
CF-0000214,val,42
CF-0000095,val,42
CF-0000145,val,42
CF-0000154,val,42
CF-0000183,val,42
CF-0000153,val,42
CF-0000381,val,42
CF-0000252,val,42
CF-0000210,val,42
CF-0000287,val,42
CF-0000385,val,42
CF-0000020,val,42
CF-0000194,val,42
CF-0000285,val,42
CF-0000080,val,42
CF-0000224,val,42
CF-0000249,val,42
CF-0000075,val,42
CF-0000022,val,42
CF-0000248,val,42
CF-0000088,val,42
CF-0000455,val,42
CF-0000329,val,42
CF-0000143,val,42
CF-0000229,val,42
CF-0000305,val,42
CF-0000056,val,42
CF-0000071,val,42
CF-0000107,test,42
CF-0000007,test,42
CF-0000263,test,42
CF-0000228,test,42
CF-0000307,test,42
CF-0000142,test,42
CF-0000355,test,42
CF-0000033,test,42
CF-0000389,test,42
CF-0000135,test,42
CF-0000137,test,42
CF-0000306,test,42
CF-0000276,test,42
CF-0000200,test,42
CF-0000158,test,42
CF-0000195,test,42
CF-0000105,test,42
CF-0000235,test,42
CF-0000341,test,42
CF-0000297,test,42
CF-0000156,test,42
CF-0000335,test,42
CF-0000213,test,42
CF-0000133,test,42
CF-0000227,test,42
CF-0000129,test,42
CF-0000065,test,42
CF-0000170,test,42
CF-0000507,test,42
CF-0000144,test,42
CF-0000222,test,42
CF-0000147,test,42
CF-0000316,test,42
CF-0000136,test,42
CF-0000220,test,42
CF-0000257,test,42
CF-0000221,test,42
CF-0000304,test,42
CF-0000324,test,42
CF-0000168,test,42
CF-0000067,test,42
CF-0000511,test,42
